Date,median of the 100 ensemble member time series,,,
Jan-29,-0.487,,,
Feb-29,-0.67,,,
Mar-29,-0.409,,,
Apr-29,-0.389,,,
May-29,-0.391,,,
Jun-29,-0.351,,,
Jul-29,-0.358,,,
Aug-29,-0.185,,,
Sep-29,-0.265,,,
Oct-29,-0.176,,,
Nov-29,-0.072,,,
Dec-29,-0.488,,,
Jan-30,-0.327,,,
Feb-30,-0.287,,,
Mar-30,-0.15,,,
Apr-30,-0.201,,,
May-30,-0.201,,,
Jun-30,-0.165,,,
Jul-30,-0.122,,,
Aug-30,-0.056,,,
Sep-30,-0.079,,,
Oct-30,-0.089,,,
Nov-30,0.078,,,
Dec-30,-0.079,,,
Jan-31,-0.007,,,
Feb-31,-0.162,,,
Mar-31,-0.123,,,
Apr-31,-0.182,,,
May-31,-0.166,,,
Jun-31,-0.04,,,
Jul-31,0.002,,,
Aug-31,-0.054,,,
Sep-31,-0.05,,,
Oct-31,-0.046,,,
Nov-31,-0.153,,,
Dec-31,-0.105,,,
Jan-32,0.157,,,
Feb-32,-0.196,,,
Mar-32,-0.243,,,
Apr-32,-0.069,,,
May-32,-0.169,,,
Jun-32,-0.191,,,
Jul-32,-0.128,,,
Aug-32,-0.197,,,
Sep-32,-0.039,,,
Oct-32,-0.176,,,
Nov-32,-0.235,,,
Dec-32,-0.194,,,
Jan-33,-0.295,,,
Feb-33,-0.324,,,
Mar-33,-0.348,,,
Apr-33,-0.222,,,
May-33,-0.213,,,
Jun-33,-0.261,,,
Jul-33,-0.185,,,
Aug-33,-0.179,,,
Sep-33,-0.235,,,
Oct-33,-0.204,,,
Nov-33,-0.316,,,
Dec-33,-0.531,,,
Jan-34,-0.225,,,
Feb-34,-0.165,,,
Mar-34,-0.396,,,
Apr-34,-0.25,,,
May-34,-0.082,,,
Jun-34,-0.043,,,
Jul-34,-0.068,,,
Aug-34,-0.058,,,
Sep-34,-0.101,,,
Oct-34,-0.091,,,
Nov-34,0.022,,,
Dec-34,-0.142,,,
Jan-35,-0.233,,,
Feb-35,0.101,,,
Mar-35,-0.23,,,
Apr-35,-0.273,,,
May-35,-0.245,,,
Jun-35,-0.188,,,
Jul-35,-0.142,,,
Aug-35,-0.154,,,
Sep-35,-0.141,,,
Oct-35,-0.075,,,
Nov-35,-0.308,,,
Dec-35,-0.274,,,
Jan-36,-0.31,,,
Feb-36,-0.365,,,
Mar-36,-0.31,,,
Apr-36,-0.213,,,
May-36,-0.16,,,
Jun-36,-0.161,,,
Jul-36,-0.021,,,
